Famille de métiers,Métier,Tâche,Impact potentiel,Exemple,Risques
Pédagogie et accompagnement des étudiants,Conseiller pédagogique,Accompagner les étudiants dans la construction de leur projet de recherche,fort,structurer les idées et les objectifs de recherche pour les étudiants.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la désinformation, la manipulation émotionnelle, la collecte non éthique de données personnelles et les utilisations malveillantes pour la cybercriminalité."
Pédagogie et accompagnement des étudiants,Conseiller pédagogique,Analyser les résultats d'évaluation des cours,moyen,résumer les résultats d'évaluation des cours.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour résumer les résultats d'évaluation des cours incluent la diffusion de fausses informations, la violation de la confidentialité des données étudiantes et la possibilité de tricher ou de manipuler les résultats."
Pédagogie et accompagnement des étudiants,Conseiller pédagogique,Organiser les ateliers de tutorat,faible,structurer les programmes de tutorat en créant des plans de cours personnalisés pour les ateliers.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de contenus inappropriés ou biaisés, ainsi que la possibilité de manipulation ou d'exploitation des informations sensibles."
Pédagogie et accompagnement des étudiants,Ingénieur pédagogique,Concevoir les parcours d'apprentissage en ligne,fort,structurer les contenus pédagogiques pour concevoir les parcours d'apprentissage en ligne.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation des données personnelles, la dépendance excessive à la technologie et les biais algorithmiques."
Pédagogie et accompagnement des étudiants,Ingénieur pédagogique,Évaluer l'efficacité des outils pédagogiques,moyen,analyser les données d'utilisation et les résultats d'apprentissage pour évaluer l'efficacité des outils pédagogiques.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de fausses informations, la manipulation des utilisateurs et la dépendance excessive à la technologie."
Pédagogie et accompagnement des étudiants,Ingénieur pédagogique,Former les enseignants aux nouvelles technologies,moyen,Rédiger des guides pédagogiques personnalisés pour former les enseignants aux nouvelles technologies.,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, la manipulation, la perte de données personnelles et la dépendance excessive à la technologie."
Pédagogie et accompagnement des étudiants,Tuteur,Donner des conseils pédagogiques,faible,Rédiger des plans de cours personnalisés en fonction des objectifs pédagogiques et des besoins des étudiants.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la perte de confidentialité des données étudiantes, la diffusion de contenus inappropriés ou erronés, ainsi que la dépendance excessive à l'égard de la technologie au détriment des interactions humaines."
Pédagogie et accompagnement des étudiants,Tuteur,Encadrer des étudiants,faible,Rédiger des réponses personnalisées aux questions fréquentes des étudiants pour les encadrer de manière efficace.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la violation de la vie privée, la manipulation émotionnelle et l'utilisation à des fins malveillantes."
Pédagogie et accompagnement des étudiants,Tuteur,Participer à des comités pédagogiques,faible,Rédiger des rapports de réunion et des procès-verbaux pour les comités pédagogiques.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour rédiger des rapports de réunion et des procès-verbaux incluent la perte de confidentialité, la diffusion d'informations erronées, la manipulation de données sensibles et la possibilité de générer des contenus inappropriés ou biaisés."
Pédagogie et accompagnement des étudiants,Tuteur,Rédiger des rapports pédagogiques,moyen,Rédiger des rapports pédagogiques détaillés et personnalisés à l'aide de données spécifiques sur les étudiants.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour rédiger des rapports pédagogiques incluent la perte de confidentialité des données étudiantes, la génération de contenus inexactes ou biaisés, ainsi que la possibilité de fraude ou de falsification de rapports."
Pédagogie et accompagnement des étudiants,Tuteur,Créer des plans de formation,fort,générer des plans de formation personnalisés en fonction des objectifs et des besoins spécifiques des étudiants.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de contenus inappropriés ou biaisés, ainsi que la possibilité de manipulation ou d'exploitation des étudiants."
Pédagogie et accompagnement des étudiants (ingénierie pédagogique),Chargé d'orientation,Accompagner les étudiants dans leur choix de formation,moyen,proposer des parcours de formation personnalisés en analysant les intérêts et les objectifs des étudiants.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de fausses informations, la manipulation des étudiants et la violation de leur vie privée."
Pédagogie et accompagnement des étudiants (ingénierie pédagogique),Ingénieur pédagogique,Concevoir un programme de formation,moyen,générer des contenus de cours et des plans de formation pour le programme de formation.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de contenus inexacts ou biaisés, la violation de la vie privée, la fraude et les usurpations d'identité."
Pédagogie et accompagnement des étudiants (ingénierie pédagogique),Responsable d'un centre d'aide aux étudiants,Organiser des ateliers d'aide aux étudiants,moyen,Rédiger des réponses personnalisées aux questions fréquentes des étudiants pour préparer les ateliers d'aide.,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, la collecte non autorisée de données personnelles, ainsi que les utilisations malveillantes pour des activités de phishing ou de harcèlement."
Recherche et ingénierie,Chercheur,Rédiger un article scientifique,moyen,Rédiger un article scientifique en générant des contenus de base et en structurant les idées de recherche.,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, la manipulation émotionnelle, la collecte non éthique de données personnelles et les utilisations malveillantes pour la cybercriminalité."
Recherche et ingénierie,Chercheur,Mener des recherches,fort,résumer des articles de recherche,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée et les manipulations psychologiques."
Recherche et ingénierie,Chercheur,Rédiger des articles de recherche,fort,Rédiger des brouillons d'articles de recherche en générant du contenu basé sur des données et des informations fournies.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation de données, la violation de la vie privée et la création de contenus préjudiciables ou trompeurs."
Recherche et ingénierie,Chercheur,Participer à des conférences internationales,faible,Rédiger des résumés de conférences ou des articles de recherche pour préparer les interventions orales lors de conférences internationales.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la violation de la vie privée, la manipulation de l'opinion publique et la perte de confidentialité des données."
Recherche et ingénierie,Chercheur,Encadrer des étudiants en recherche,faible,structurer des plans de recherche pour les étudiants.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la violation de la vie privée, la manipulation de données et les utilisations malveillantes pour le plagiat ou la triche académique."
Recherche et ingénierie,Chercheur,Présenter les résultats aux conférences internationales,fort,"Rédiger, traduire des résumés de présentation pour les conférences internationales","Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la violation de la confidentialité des données et les utilisations malveillantes pour la désinformation ou le harcèlement."
Recherche et ingénierie,Directeur de recherche,Élaborer des stratégies de recherche,moyen,générer des propositions de stratégies de recherche personnalisées en fonction des objectifs et des besoins spécifiques de l'utilisateur.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de fausses informations, la manipulation émotionnelle et la perte de confidentialité."
Recherche et ingénierie,Directeur de recherche,Gérer des budgets de recherche,moyen,calculer les dépenses et les revenus pour établir des prévisions budgétaires précises.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour calculer les dépenses et les revenus incluent la manipulation de données, les erreurs de calcul, la perte de confidentialité et les utilisations malveillantes de l'information financière."
Recherche et ingénierie,Directeur de recherche,Négocier des contrats de recherche,faible,Rédiger les premières versions de contrats de recherche en fonction de modèles et de clauses standards pour accélérer le processus de négociation.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la perte de confidentialité, les biais dans les données, les erreurs de formulation et les utilisations malveillantes des informations générées."
Recherche et ingénierie,Directeur de recherche,Préparer des rapports de gestion,moyen,rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles prédéfinis.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la perte de confidentialité des données et la possibilité de générer des contenus frauduleux ou malveillants."
Recherche et ingénierie,Ingénieur de recherche,Analyser des données de recherche,fort,résumer les données de recherche pour en extraire les informations clés.,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les fraudes, les atteintes à la vie privée et la manipulation émotionnelle."
Recherche et ingénierie,Ingénieur de recherche,Concevoir les protocoles expérimentaux,fort,Rédiger les protocoles expérimentaux détaillés pour les tests et les validations nécessaires.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la désinformation, les manipulations, les atteintes à la vie privée et les utilisations malveillantes."
Recherche et ingénierie,Ingénieur de recherche,Analyser les données expérimentales,fort,analyser et résumer les données expérimentales.,"Les risques et détournements possibles associés à l'usage de chatbots IA incluent la diffusion de fausses informations, la manipulation de données, la violation de la vie privée et les utilisations malveillantes pour le phishing ou la cybercriminalité."
Recherche et ingénierie,Ingénieur de recherche,Rédiger des rapports de recherche,moyen,rédiger des rapports de recherche.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour rédiger des rapports de recherche incluent la diffusion d'informations erronées, le plagiat, la perte de confidentialité et la manipulation de données."
Recherche et ingénierie,Ingénieur de recherche,Préparer des présentations de recherche,moyen,rédiger des contenus de présentation de recherche.,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, la manipulation émotionnelle, la collecte non éthique de données personnelles et les utilisations malveillantes pour la cybercriminalité."
Ressources humaines,Chargé de recrutement,Trier les CV reçus,moyen,"classer les CV reçus en fonction de critères prédéfinis tels que les compétences, l'expérience et les qualifications.","Les risques et détournements possibles associés à l'utilisation de l'IA pour classer les CV incluent des biais dans les algorithmes, des discriminations potentielles, une confidentialité des données compromise et des erreurs de classification."
Ressources humaines,Directeur des ressources humaines,Élaborer des stratégies de recrutement,moyen,générer des descriptions de poste personnalisées pour les stratégies de recrutement.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour générer des descriptions de poste personnalisées incluent la diffusion de biais discriminatoires, la fuite de données sensibles et la création de contenus inappropriés ou trompeurs."
Ressources humaines,Directeur des ressources humaines,Superviser des équipes de recrutement,faible,automatiser la rédaction de lettres de refus ou d'acceptation pour les candidats.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour la rédaction de lettres de refus ou d'acceptation incluent la perte de personnalisation, les erreurs de formulation, la diffusion de informations sensibles et la possibilité de biais dans les décisions d'acceptation ou de refus."
Ressources humaines,Directeur des ressources humaines,Gérer des budgets de formation,moyen,calculer les coûts de formation et proposer des répartitions budgétaires optimales.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la manipulation de données, les erreurs de calcul, les biais dans les algorithmes et les utilisations non éthiques des informations personnelles."
Ressources humaines,Directeur des ressources humaines,Négocier des contrats de travail,faible,Rédiger des modèles de contrats de travail personnalisés en fonction des exigences spécifiques de l'entreprise.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour la rédaction de contrats de travail personnalisés incluent la création de clauses contractuelles illégales ou contraires à l'éthique, ainsi que la potentialité de biais et d'erreurs dans les documents générés."
Ressources humaines,Directeur des ressources humaines,Préparer des rapports de gestion,moyen,rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion d'informations erronées, la perte de confidentialité des données et les utilisations malveillantes pour la création de faux rapports ou de contenus trompeurs."
Ressources humaines,Formateur,Créer des plans de formation,fort,générer des plans de formation personnalisés en fonction des objectifs et des besoins spécifiques des agents. ,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de contenus inexacts ou biaisés, ainsi que les utilisations malveillantes pour la manipulation ou l'exploitation des agents."
Ressources humaines,Formateur,Donner des formations,faible,Rédiger des contenus pédagogiques personnalisés pour les formations ,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour la rédaction de contenus pédagogiques personnalisés incluent la diffusion de fausses informations, la perte de contrôle éditorial, la dépendance excessive à la technologie et les biais potentiels dans les contenus générés."
Ressources humaines,Formateur,Évaluer des formations,moyen,évaluer et rédiger des rapports de formation en analysant les données et les retours d'expérience.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de fausses informations, la manipulation émotionnelle des utilisateurs et les atteintes à la sécurité informatique."
Ressources humaines,Formateur,Participer à des comités de formation,faible,Rédiger des rapports de réunion et des procès-verbaux pour les comités de formation.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour la rédaction de rapports de réunion et de procès-verbaux incluent la perte de confidentialité, la diffusion d'informations erronées, la manipulation de données sensibles et la possibilité de générer des contenus biaisés ou inappropriés."
Ressources humaines,Responsable de la formation,Organiser des formations pour les personnels,moyen,Rédiger des contenus de formation personnalisés pour les personnels en fonction de leurs besoins spécifiques.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de contenus inappropriés ou biaisés, ainsi que les utilisations malveillantes pour la désinformation ou le phishing."
Ressources humaines,Responsable de recrutement,Lancer des campagnes de recrutement,moyen,Rédiger des descriptions de postes et des offres d'emploi personnalisées pour les campagnes de recrutement.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour la rédaction de descriptions de postes et d'offres d'emploi personnalisées incluent la diffusion de contenus biaisés, la violation de la confidentialité des données, la création de faux emplois ou de descriptions de postes trompeuses."
Ressources humaines,Responsable de recrutement,Analyser des CV,moyen,analyser et résumer les informations clés présentes dans les CV.,"Les risques et détournements possibles associés à l'analyse de CV par des chatbots IA incluent la discrimination potentielle, les préjugés algorithmiques, la fuite de données personnelles et l'utilisation abusive des informations pour du spam ou du phishing."
Ressources humaines,Responsable de recrutement,Organiser des entretiens de recrutement,faible,rédiger des questions d'entretien personnalisées pour les candidats en fonction des exigences du poste à pourvoir.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de fausses informations, la manipulation émotionnelle et l'utilisation à des fins malveillantes."
Ressources humaines,Responsable de recrutement,Préparer des offres d'emploi,moyen,Rédiger des descriptions de postes et des exigences pour les offres d'emploi.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour rédiger des descriptions de postes et des exigences pour les offres d'emploi incluent la diffusion d'informations erronées, la discrimination potentielle dans les processus de recrutement et la perte de confidentialité des données sensibles."
Ressources humaines,Responsable de recrutement,Superviser des équipes de recrutement,faible,automatiser la rédaction de lettres de refus ou d'acceptation pour les candidats.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour automatiser la rédaction de lettres de refus ou d'acceptation incluent la perte de personnalisation, les erreurs de formulation, la diffusion de informations sensibles et la possibilité de biais dans les décisions d'acceptation ou de refus."
Ressources humaines,Responsable RH,Élaborer les fiches de poste,moyen,Rédiger les descriptions de poste et les exigences spécifiques pour les futurs employés en fonction des besoins de l'entreprise.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de fausses informations, les attaques de phishing et les utilisations malveillantes pour le harcèlement ou la manipulation."
Ressources humaines,Responsable RH,Mettre en place les procédures d'évaluation de performance,moyen,générer des rapports de performance détaillés pour évaluer les résultats des processus universitaires.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour générer des rapports de performance détaillés incluent la diffusion de fausses informations, la violation de la confidentialité des données, la manipulation des résultats et la perte de contrôle sur les processus décisionnels."
Ressources humaines,Responsable RH,Organiser les séances de formation interne,faible,structurer les contenus de formation en créant des plans de cours détaillés pour les séances de formation interne.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la violation de la confidentialité des données, la manipulation émotionnelle et la dépendance excessive à la technologie."
Scolarité et gestion des étudiants,Conseiller pédagogique,Accompagner les étudiants dans leur parcours scolaire,moyen,Rédiger des plans de révision personnalisés pour les étudiants en fonction de leurs objectifs et de leurs progrès scolaires.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la perte de confidentialité des données étudiantes, la dépendance excessive à l'égard de l'IA pour les révisions et la possibilité de tricherie ou de fraude académique."
Scolarité et gestion des étudiants,Coordinateur d'inscription,Enregistrer les nouvelles inscriptions dans le système,faible,Le chatbot IA peut automatiser l'enregistrement des nouvelles inscriptions en les saisissant directement dans le système.,"Les risques et détournements possibles associés à l'automatisation de l'enregistrement des nouvelles inscriptions par des chatbots IA incluent la possibilité d'erreurs de saisie, de failles de sécurité, de fuites de données personnelles et de manipulations malveillantes."
Scolarité et gestion des étudiants,Coordinateur d'inscription,Répondre aux demandes d'information des futurs étudiants,fort,rédiger des réponses personnalisées aux demandes d'information des futurs étudiants.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la désinformation, la manipulation de données personnelles, les atteintes à la vie privée et les utilisations malveillantes pour le phishing ou la diffusion de contenus préjudiciables."
Scolarité et gestion des étudiants,Gestionnaire de bourse,Gérer des dossiers de bourse,moyen,structurer les informations personnelles et scolaires des candidats pour gérer efficacement les dossiers de bourse.,"Les risques et détournements possibles associés à l'utilisation de l'IA pour structurer les informations personnelles et scolaires des candidats incluent la violation de la confidentialité, la manipulation de données, la discrimination algorithmique et l'accès non autorisé aux informations sensibles."
Scolarité et gestion des étudiants,Gestionnaire de bourse,Préparer des rapports de bourse,moyen,rédiger les rapports de bourse en fonction des données financières fournies.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour rédiger des rapports de bourse incluent la diffusion de fausses informations, la manipulation de données financières et la violation de la confidentialité."
Scolarité et gestion des étudiants,Responsable d'inscription,Gérer les inscriptions des étudiants,moyen,automatiser la réponse aux questions fréquentes des étudiants sur les inscriptions.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour automatiser les réponses aux questions fréquentes des étudiants incluent la diffusion d'informations erronées, la violation de la confidentialité des données étudiantes et les attaques de phishing ou de spam ciblant les étudiants."
Scolarité et gestion des étudiants,Responsable scolarité,Gérer les dossiers de validation des crédits,moyen,automatiser la vérification des informations dans les dossiers de validation des crédits.,"Les risques et détournements possibles associés à l'automatisation de la vérification des informations dans les dossiers de validation des crédits via des chatbots IA incluent la falsification de données, l'accès non autorisé, la perte de confidentialité et les erreurs de traitement dues à des biais algorithmiques."
Scolarité et gestion des étudiants,Responsable scolarité,Organiser les séances d'orientation des nouveaux étudiants,moyen,Rédiger des réponses personnalisées aux questions fréquentes des nouveaux étudiants pour les séances d'orientation.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion d'informations erronées, la collecte non autorisée de données personnelles, la manipulation émotionnelle et les attaques de phishing."
Scolarité et gestion des étudiants,Secrétaire de scolarité,Gérer des dossiers d'inscription,moyen,structurer les informations des dossiers d'inscription.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour structurer les informations des dossiers d'inscription incluent la collecte non autorisée de données personnelles, la diffusion de fausses informations et la vulnérabilité aux attaques de piratage."
Scolarité et gestion des étudiants,Secrétaire de scolarité,Répondre aux demandes d'information,moyen,rédiger des réponses personnalisées aux demandes d'information.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée et les utilisations malveillantes pour la manipulation de l'opinion publique."
