Famille de métiers,Métier,Tâche,Impact potentiel,Exemple
Recherche et ingénierie,Directeur de recherche,Négocier des contrats de recherche,faible,Rédiger les premières versions de contrats de recherche en fonction de modèles et de clauses standards pour accélérer le processus de négociation.
Recherche et ingénierie,Directeur de recherche,Préparer des rapports de gestion,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles prédéfinis.
Recherche et ingénierie,Ingénieur de recherche,Analyser des données de recherche,fort,Un chatbot IA de type ChatGPT peut résumer les données de recherche pour en extraire les informations clés.
Recherche et ingénierie,Ingénieur de recherche,Concevoir les protocoles expérimentaux,fort,Rédiger les protocoles expérimentaux détaillés pour les tests et les validations nécessaires.
Recherche et ingénierie,Ingénieur de recherche,Analyser les données expérimentales,fort,Un chatbot IA de type ChatGPT peut analyser et résumer les données expérimentales.
Recherche et ingénierie,Ingénieur de recherche,Gérer les équipements de laboratoire,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports d'inventaire et de maintenance pour les équipements de laboratoire.
Recherche et ingénierie,Ingénieur de recherche,Mener des recherches,fort,Un chatbot IA de type ChatGPT peut résumer des articles de recherche pour cette tâche.
Recherche et ingénierie,Ingénieur de recherche,Rédiger des rapports de recherche,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports de recherche.
Recherche et ingénierie,Ingénieur de recherche,Préparer des présentations de recherche,moyen,Un chatbot IA de type ChatGPT peut rédiger des contenus de présentation de recherche.
Recherche et ingénierie,Ingénieur de recherche,Participer à des comités de recherche,faible,Rédiger des rapports de recherche pour les comités de recherche en utilisant les capacités de traitement du langage naturel du chatbot IA.
Recherche et ingénierie,Ingénieur de recherche,Encadrer des étudiants en recherche,faible,Un chatbot IA de type ChatGPT peut structurer des plans de recherche pour les étudiants.
Recherche et ingénierie,Responsable de projet de recherche,Gérer un projet de recherche,moyen,Rédiger des rapports d'avancement et des comptes rendus de réunions pour le projet de recherche.
Ressources humaines,Chargé de recrutement,Analyser les candidatures,moyen,Un chatbot IA de type ChatGPT peut **classifier** les candidatures en fonction de critères prédéfinis pour une analyse préliminaire.
Ressources humaines,Chargé de recrutement,Rédiger les annonces d'emploi,fort,Rédiger les annonces d'emploi.
Ressources humaines,Chargé de recrutement,Trier les CV reçus,moyen,"Un chatbot IA de type ChatGPT peut **classer** les CV reçus en fonction de critères prédéfinis tels que les compétences, l'expérience et les qualifications."
Ressources humaines,Chargé de recrutement,Conduire les entretiens téléphoniques,faible,Un chatbot IA de type ChatGPT peut transcrire les entretiens téléphoniques.
Ressources humaines,Directeur des ressources humaines,Élaborer des stratégies de recrutement,moyen,Un chatbot IA de type ChatGPT peut générer des descriptions de poste personnalisées pour les stratégies de recrutement.
Ressources humaines,Directeur des ressources humaines,Superviser des équipes de recrutement,faible,Un chatbot IA de type ChatGPT peut automatiser la rédaction de lettres de refus ou d'acceptation pour les candidats.
Ressources humaines,Directeur des ressources humaines,Gérer des budgets de formation,moyen,Un chatbot IA de type ChatGPT peut calculer les coûts de formation et proposer des répartitions budgétaires optimales.
Ressources humaines,Directeur des ressources humaines,Négocier des contrats de travail,faible,Rédiger des modèles de contrats de travail personnalisés en fonction des exigences spécifiques de l'entreprise.
Ressources humaines,Directeur des ressources humaines,Préparer des rapports de gestion,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.
Ressources humaines,Formateur,Créer des plans de formation,fort,Un chatbot IA de type ChatGPT peut générer des plans de formation personnalisés en fonction des objectifs et des besoins spécifiques des étudiants.
Ressources humaines,Formateur,Donner des formations,faible,Rédiger des contenus pédagogiques personnalisés pour les formations en utilisant un chatbot IA de type ChatGPT.
Ressources humaines,Formateur,Évaluer des formations,moyen,Un chatbot IA de type ChatGPT peut évaluer et rédiger des rapports de formation en analysant les données et les retours d'expérience.
Ressources humaines,Formateur,Participer à des comités de formation,faible,Rédiger des rapports de réunion et des procès-verbaux pour les comités de formation.
Ressources humaines,Formateur,Rédiger des rapports de formation,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports de formation.
Ressources humaines,Responsable de la formation,Organiser des formations pour les personnels,moyen,Rédiger des contenus de formation personnalisés pour les personnels en fonction de leurs besoins spécifiques.
Ressources humaines,Responsable de recrutement,Lancer des campagnes de recrutement,moyen,Rédiger des descriptions de postes et des offres d'emploi personnalisées pour les campagnes de recrutement.
Ressources humaines,Responsable de recrutement,Analyser des CV,moyen,Un chatbot IA de type ChatGPT peut analyser et résumer les informations clés présentes dans les CV.
Ressources humaines,Responsable de recrutement,Organiser des entretiens de recrutement,faible,Un chatbot IA de type ChatGPT peut rédiger des questions d'entretien personnalisées pour les candidats en fonction des exigences du poste à pourvoir.
Ressources humaines,Responsable de recrutement,Préparer des offres d'emploi,moyen,Rédiger des descriptions de postes et des exigences pour les offres d'emploi.
Ressources humaines,Responsable de recrutement,Superviser des équipes de recrutement,faible,Un chatbot IA de type ChatGPT peut automatiser la rédaction de lettres de refus ou d'acceptation pour les candidats.
Ressources humaines,Responsable RH,Élaborer les fiches de poste,moyen,Rédiger les descriptions de poste et les exigences spécifiques pour les futurs employés en fonction des besoins de l'entreprise.
Ressources humaines,Responsable RH,Mettre en place les procédures d'évaluation de performance,moyen,Un chatbot IA de type ChatGPT peut générer des rapports de performance détaillés pour évaluer les résultats des processus universitaires.
Ressources humaines,Responsable RH,Organiser les séances de formation interne,faible,Un chatbot IA de type ChatGPT peut structurer les contenus de formation en créant des plans de cours détaillés pour les séances de formation interne.
Scolarité et gestion des étudiants,Administrateur des examens,Organiser les sessions d'examens,faible,Un chatbot IA de type ChatGPT peut générer des horaires d'examen personnalisés pour les étudiants et les enseignants.
Scolarité et gestion des étudiants,Conseiller d'orientation,Donner des conseils d'orientation,faible,Rédiger des lettres de motivation personnalisées pour les étudiants en fonction de leurs intérêts et de leurs objectifs académiques.
Scolarité et gestion des étudiants,Conseiller d'orientation,Encadrer des étudiants,faible,Rédiger des réponses personnalisées aux questions fréquentes des étudiants pour les encadrer de manière efficace.
Scolarité et gestion des étudiants,Conseiller d'orientation,Participer à des comités d'orientation,faible,Rédiger des rapports de synthèse pour les comités d'orientation en analysant les données et les tendances liées aux usages de l'IA à l'université.
Scolarité et gestion des étudiants,Conseiller d'orientation,Rédiger des rapports d'orientation,moyen,Rédiger des rapports d'orientation personnalisés en fonction des données fournies.
Scolarité et gestion des étudiants,Conseiller d'orientation,Créer des plans d'orientation,fort,Un chatbot IA de type ChatGPT peut générer des plans d'orientation personnalisés en fonction des objectifs et des besoins spécifiques des étudiants.
Scolarité et gestion des étudiants,Conseiller pédagogique,Accompagner les étudiants dans leur parcours scolaire,moyen,Rédiger des plans de révision personnalisés pour les étudiants en fonction de leurs objectifs et de leurs progrès scolaires.
Scolarité et gestion des étudiants,Coordinateur d'inscription,Vérifier les pièces justificatives des dossiers d'inscription,faible,Un chatbot IA de type ChatGPT peut vérifier les pièces justificatives des dossiers d'inscription en les comparant à une liste de critères prédéfinis et en signalant les anomalies ou les documents manquants.
Scolarité et gestion des étudiants,Coordinateur d'inscription,Enregistrer les nouvelles inscriptions dans le système,faible,Le chatbot IA peut automatiser l'enregistrement des nouvelles inscriptions en les saisissant directement dans le système.
Scolarité et gestion des étudiants,Coordinateur d'inscription,Répondre aux demandes d'information des futurs étudiants,faible,Un chatbot IA de type ChatGPT peut rédiger des réponses personnalisées aux demandes d'information des futurs étudiants.
Scolarité et gestion des étudiants,Gestionnaire de bourse,Gérer des dossiers de bourse,moyen,Un chatbot IA de type ChatGPT peut structurer les informations personnelles et scolaires des candidats pour gérer efficacement les dossiers de bourse.
Scolarité et gestion des étudiants,Gestionnaire de bourse,Préparer des rapports de bourse,moyen,Un chatbot IA de type ChatGPT peut rédiger les rapports de bourse en fonction des données financières fournies.
Scolarité et gestion des étudiants,Gestionnaire de bourse,Répondre aux demandes d'information,faible,Un chatbot IA de type ChatGPT peut rédiger des réponses personnalisées aux demandes d'information.
Scolarité et gestion des étudiants,Gestionnaire de bourse,Classer des documents de bourse,faible,Un chatbot IA de type ChatGPT peut **classer** des documents de bourse.
Scolarité et gestion des étudiants,Gestionnaire de bourse,Superviser des équipes de bourse,faible,Un chatbot IA de type ChatGPT peut structurer les données de candidature pour faciliter l'évaluation des équipes de bourse.
Scolarité et gestion des étudiants,Responsable d'inscription,Gérer les inscriptions des étudiants,moyen,Un chatbot IA de type ChatGPT peut automatiser la réponse aux questions fréquentes des étudiants sur les inscriptions.
Scolarité et gestion des étudiants,Responsable scolarité,Mettre à jour le registre des inscriptions,faible,Un chatbot IA de type ChatGPT peut automatiquement **mettre à jour** les informations dans le registre des inscriptions.
Scolarité et gestion des étudiants,Responsable scolarité,Gérer les dossiers de validation des crédits,moyen,Un chatbot IA de type ChatGPT peut automatiser la vérification des informations dans les dossiers de validation des crédits.
Scolarité et gestion des étudiants,Responsable scolarité,Organiser les séances d'orientation des nouveaux étudiants,faible,Rédiger des réponses personnalisées aux questions fréquentes des nouveaux étudiants pour les séances d'orientation.
Scolarité et gestion des étudiants,Secrétaire de scolarité,Gérer des dossiers d'inscription,moyen,Un chatbot IA de type ChatGPT peut structurer les informations des dossiers d'inscription.
Scolarité et gestion des étudiants,Secrétaire de scolarité,Préparer des certificats de scolarité,moyen,Un chatbot IA de type ChatGPT peut générer les certificats de scolarité.
Scolarité et gestion des étudiants,Secrétaire de scolarité,Répondre aux demandes d'information,faible,Un chatbot IA de type ChatGPT peut rédiger des réponses personnalisées aux demandes d'information.
Scolarité et gestion des étudiants,Secrétaire de scolarité,Classer des documents de scolarité,faible,Un chatbot IA de type ChatGPT peut classifier des documents de scolarité.
Scolarité et gestion des étudiants,Secrétaire de scolarité,Superviser des équipes de scolarité,faible,Un chatbot IA de type ChatGPT peut générer des rapports de scolarité personnalisés pour chaque étudiant en fonction de leurs performances et de leurs progrès.
